id,model_no,description
1,100ADL57.5,"Model 100ADL57.5 is a 7.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 100.0 mm (4""), and can handle solids up to 80.0 mm. The maximum flow is 300 LPM and the maximum head is 22.0 meters (72.0 feet). The rated head is 12.0 meters at a rated flow of 1850.0 LPM. More details: https://www.hungpump.com/adl"
2,50ADVS5.75,"Model 50ADVS5.75 is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 33.0 mm. The maximum flow is 320 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 140.0 LPM. More details: https://www.hungpump.com/advs"
3,50ADVS5.75,"Model 50ADVS5.75 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 33.0 mm. The maximum flow is 320 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 140.0 LPM. More details: https://www.hungpump.com/advs"
4,50ADVS5.75,"Model 50ADVS5.75 is a 750W pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 33.0 mm. The maximum flow is 320 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 140.0 LPM. More details: https://www.hungpump.com/advs"
5,50ADVS5.75A,"Model 50ADVS5.75A is a 750W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 33.0 mm. The maximum flow is 320 LPM and the maximum head is 14.0 meters (46 feet). The rated head is 9.0 meters at a rated flow of 140.0 LPM. More details: https://www.hungpump.com/advs"
6,50ADVS51.5,"Model 50ADVS51.5 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 31.0 mm. The maximum flow is 420 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 12.0 meters at a rated flow of 250.0 LPM. More details: https://www.hungpump.com/advs"
7,50ADVS51.5,"Model 50ADVS51.5 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 50.0 mm (2""), and can handle solids up to 31.0 mm. The maximum flow is 420 LPM and the maximum head is 22.0 meters (72 feet). The rated head is 12.0 meters at a rated flow of 250.0 LPM. More details: https://www.hungpump.com/advs"
8,65ADL51.5,"Model 65ADL51.5 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 65.0 mm (2-1/2""), and can handle solids up to 40.0 mm. The maximum flow is 850 LPM and the maximum head is 15.0 meters (49 feet). The rated head is 12.0 meters at a rated flow of 370.0 LPM. More details: https://www.hungpump.com/adl"
9,65ADL51.5,"Model 65ADL51.5 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 65.0 mm (2-1/2""), and can handle solids up to 40.0 mm. The maximum flow is 850 LPM and the maximum head is 15.0 meters (49 feet). The rated head is 9.0 meters at a rated flow of 370.0 LPM. More details: https://www.hungpump.com/adl"
10,65ADVS51.5,"Model 65ADVS51.5 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 65.0 mm (2-1/2""), and can handle solids up to 45.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 420.0 LPM. More details: https://www.hungpump.com/advs"
11,65ADVS51.5,"Model 65ADVS51.5 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 65.0 mm (2-1/2""), and can handle solids up to 45.0 mm. The maximum flow is 700 LPM and the maximum head is 17.0 meters (56 feet). The rated head is 9.0 meters at a rated flow of 420.0 LPM. More details: https://www.hungpump.com/advs"
12,80ADL51.5,"Model 80ADL51.5 is a 1.5kW pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 50.0 mm. The maximum flow is 1000 LPM and the maximum head is 13.0 meters (43 feet). The rated head is 9.0 meters at a rated flow of 450.0 LPM. More details: https://www.hungpump.com/adl"
13,80ADL51.5,"Model 80ADL51.5 is a 1.5kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 50.0 mm. The maximum flow is 1000 LPM and the maximum head is 13.0 meters (43 feet). The rated head is 9.0 meters at a rated flow of 450.0 LPM. More details: https://www.hungpump.com/adl"
14,80ADL52.2,"Model 80ADL52.2 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 50.0 mm. The maximum flow is 1200 LPM and the maximum head is 15.0 meters (49 feet). The rated head is 9.0 meters at a rated flow of 800.0 LPM. More details: https://www.hungpump.com/adl"
15,80ADL53.7,"Model 80ADL53.7 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 48.0 mm. The maximum flow is 1680 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 9.0 meters at a rated flow of 1080.0 LPM. More details: https://www.hungpump.com/adl"
16,80ADVS52.2,"Model 80ADVS52.2 is a 2.2kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 50.0 mm. The maximum flow is 1100 LPM and the maximum head is 19.0 meters (62 feet). The rated head is 12.0 meters at a rated flow of 580.0 LPM. More details: https://www.hungpump.com/advs"
17,80ADVS53.7,"Model 80ADVS53.7 is a 3.7kW pump operating at 50Hz, 3-phase. It is categorized for Dirty Water applications. It has an outlet size of 80.0 mm (3""), and can handle solids up to 55.0 mm. The maximum flow is 1200 LPM and the maximum head is 23.0 meters (75 feet). The rated head is 12.0 meters at a rated flow of 750.0 LPM. More details: https://www.hungpump.com/advs"
18,BAH-400,"Model BAH-400 is a 400W pump operating at 50Hz, 1-phase. It is categorized for Dirty Water applications. It has an outlet size of 32.0 mm (1-1/4""), and can handle solids up to 8.0 mm. The maximum flow is 180 LPM and the maximum head is 20.0 meters (66 feet). The rated head is 12.0 meters at a rated flow of 115.0 LPM. More details: https://www.hungpump.com/bah"
